xlong,ylat
-102.16919,30.9421
-102.16379,30.95939
-102.20939,30.95449
-102.22129,30.9596
-102.16633,30.95404
-102.17909,30.9478
-102.18579,30.9279
-102.18889,30.93399
-102.23519,30.9465
-102.18139,30.9404
-102.18849,30.94239
-102.21269,30.9457
-102.23229,30.94099
-102.18229,30.9332
-102.16289,30.94729
-102.22609,30.9441
-102.21069,30.94799
-102.19089,30.9335
-102.22729,30.9465
-102.21409,30.9441
-102.21649,30.9279
-102.19409,30.9314
-102.16979,30.9583
-102.19379,30.9476
-102.19389,30.9397
-102.16379,30.93889
-102.19599,30.9306
-102.21769,30.95639
-102.16679,30.9581
-102.16349,30.95149
-102.16829,30.95849
-102.21809,30.9607
-102.20709,30.9278
-102.22149,30.93889
-102.20739,30.9384
-102.19609,30.9367
-102.19529,30.9387
-102.18089,30.946
-102.16689,30.9364
-102.22899,30.9419
-102.16699,30.9499
-102.16539,30.9591
-102.16809,30.95359
-102.20579,30.9395
-102.16499,30.9504
-102.21959,30.9602
-102.20809,30.9506
-102.20519,30.931
-102.16889,30.9358
-102.2096,30.9248
-102.19249,30.9324
-102.17129,30.95799
-102.18329,30.9387
-102.23279,30.944
-102.16509,30.9377
-102.18449,30.9373
-102.22329,30.9341
-102.20209,30.9397
-102.16379,30.9553
-102.22339,30.9388
-102.18549,30.9437
-102.16966,30.95263
-102.21689,30.9357
-102.20109,30.9352
-102.19899,30.9276
-102.22179,30.9345
-102.19729,30.9283
-102.1779,30.944
-102.21249,30.9243
-102.17139,30.9504
-102.17489,30.9481
-102.19159,30.9446
-102.18449,30.92909
-102.16439,30.9467
-102.17039,30.9408
-102.21379,30.938
-102.17999,30.94169
-102.17649,30.9372
-102.19009,30.9409
-102.21739,30.9429
-102.16699,30.9444
-102.18359,30.9444
-102.21619,30.9516
-102.21659,30.96149
-102.22029,30.9349
-102.16221,30.93993
-102.22469,30.9335
-102.16629,30.946
-102.17459,30.938
-101.32789,36.47269
-101.99659,35.80819
-101.9988,35.80819
-101.99449,35.80819
-101.99429,35.81369
-101.99199,35.80819
-101.99459,35.81139
-101.80539,35.9614
-101.79489,35.9614
-101.79909,35.9614
-101.80119,35.9614
-101.79699,35.9614
-101.80969,35.9614
-101.80329,35.9614
-101.80749,35.9614
-101.98469,35.8168
-101.98049,35.81659
-101.98679,35.8169
-101.97889,35.81199
-101.98899,35.8169
-101.97709,35.8117
-101.97519,35.81149
-101.98259,35.81669
-101.36899,36.3887
-101.37239,36.37269
-101.36059,36.39339
-101.38679,36.38139
-101.37669,36.41459
-101.38299,36.3812
-101.36429,36.39959
-101.37089,36.38049
-101.36269,36.3882
-101.37869,36.39769
-101.38659,36.41459
-101.36129,36.39959
-101.36459,36.3831
-101.37599,36.37269
-101.38329,36.41459
-101.38599,36.39829
-101.38679,36.3901
-101.38179,36.40699
-101.3822,36.38969
-101.38519,36.40699
-101.36869,36.37269
-101.37969,36.3728
-101.37369,36.41209
-101.35819,36.39959
-101.37839,36.40699
-101.37459,36.39739
-101.37469,36.3807
-101.37989,36.41459
-101.38689,36.3728
-101.36669,36.37769
-101.37319,36.38899
-101.37149,36.3971
-101.37879,36.38089
-101.37779,36.38939
-101.36739,36.39959
-101.37179,36.40619
-101.38329,36.3728
-101.38239,36.398
-101.86369,36.0076
-101.84759,35.9955
-101.86159,35.9955
-101.85169,35.9955
-101.85949,35.9955
-101.84969,35.9955
-101.86139,36.0076
-101.86369,35.9955
-101.88769,36.02599
-101.88329,36.02519
-101.89979,36.02689
-101.89569,36.02609
-101.89769,36.02649
-101.89359,36.0257
-101.88549,36.02559
-101.88329,36.02929
-101.86749,36.4455
-101.87409,36.4455
-101.87189,36.4455
-101.86089,36.4455
-101.87639,36.4455
-101.86309,36.4455
-101.86969,36.4455
-101.86529,36.4455
-101.81249,36.46709
-101.82029,36.46689
-101.81029,36.467
-101.80819,36.467
-101.81819,36.46689
-101.80599,36.467
-101.82239,36.467
-101.81459,36.46709
-99.005,27.39447
-98.94569,27.38979
-98.93594,27.3952
-98.97347,27.389
-99.01098,27.38889
-99.00067,27.37173
-98.94859,27.38733
-98.94333,27.39251
-99.00568,27.39038
-98.94087,27.39487
-98.97759,27.38587
-98.90156,27.46974
-98.96523,27.42843
-98.87322,27.4875
-98.94605,27.44936
-98.8817,27.48515
-98.94375,27.41536
-98.90344,27.43525
-98.91054,27.49908
-98.92011,27.5383
-98.95657,27.44564
-98.98325,27.42819
-98.91776,27.54077
-98.90847,27.50176
-98.91412,27.46273
-98.96101,27.42864
-98.92298,27.49187
-98.91412,27.46984
-98.88918,27.51215
-98.91995,27.49394
-98.97539,27.43529
-98.9262,27.42255
-98.89042,27.49693
-98.88824,27.39386
-98.90113,27.39017
-98.97118,27.43632
-98.93918,27.43353
-98.90687,27.52794
-98.96458,27.43978
-98.94274,27.43193
-98.96963,27.42843
-98.90623,27.43229
-98.91411,27.38582
-98.88906,27.47858
-98.91608,27.49502
-98.94132,27.4179
-98.89735,27.46983
-98.91361,27.49737
-98.93214,27.44112
-98.92458,27.53346
-98.89185,27.39257
-98.90282,27.50559
-98.90511,27.50314
-98.93036,27.44417
-98.89751,27.50987
-98.94704,27.43069
-98.93656,27.42063
-98.93142,27.4048
-98.91844,27.40494
-98.88308,27.40034
-98.92137,27.42517
-98.93601,27.43558
-98.88717,27.48135
-98.96768,27.43801
-98.90453,27.46043
-98.9266,27.53081
-98.87595,27.50292
-98.97394,27.42834
-98.91113,27.38892
-98.88523,27.51324
-98.92486,27.52596
-98.9454,27.41238
-98.88156,27.51445
-98.86512,27.50616
-98.87901,27.50115
-98.90984,27.46983
-98.93472,27.40107
-98.89678,27.39228
-98.8664,27.49009
-98.94669,27.40836
-98.92819,27.44727
-98.91009,27.41781
-98.90561,27.38905
-98.90057,27.46106
-98.95039,27.44941
-98.90328,27.52902
-98.88577,27.39661
-98.90054,27.50807
-98.86815,27.50441
-98.90824,27.42965
-98.87879,27.48699
-98.92576,27.48972
-98.91,27.42637
-98.93098,27.42081
-98.98821,27.42799
-98.91842,27.40875
-98.97864,27.42826
-102.91401,32.32955
-102.90802,32.32863
-102.92995,32.33328
-102.97578,32.41227
-102.93127,32.3846
-103.01763,32.47194
-102.94027,32.36675
-102.90718,32.34857
-102.91017,32.38178
-102.98384,32.46281
-102.96315,32.40698
-102.88247,32.34372
-102.95953,32.45625
-102.96951,32.40958
-102.96543,32.37071
-102.93485,32.33477
-102.91938,32.33067
-102.92864,32.4563
-102.97755,32.37094
-102.93401,32.36503
-102.93755,32.45657
-102.98215,32.41501
-102.94979,32.4016
-102.95112,32.45536
-102.92432,32.33191
