xlong,ylat
-102.2991,35.18101
-102.33804,35.18289
-102.36169,35.21675
-102.27597,35.17968
-102.28342,35.18267
-102.36261,35.19064
-102.27969,35.18118
-102.27114,35.17391
-102.27184,35.19737
-102.36198,35.20466
-102.30656,35.18399
-102.3204,35.18329
-102.34177,35.18438
-102.36206,35.2296
-102.34309,35.21129
-102.29965,35.19207
-102.35833,35.22811
-102.35424,35.21377
-102.35516,35.18765
-102.34714,35.22363
-102.26938,35.20556
-102.31551,35.20015
-102.28431,35.21172
-102.30335,35.21745
-102.32787,35.18627
-102.35796,35.21526
-102.2884,35.16926
-102.30338,35.19357
-102.26565,35.20406
-102.34068,35.22546
-102.31607,35.21905
-102.35453,35.20168
-102.27683,35.20856
-102.31978,35.22054
-102.26368,35.17093
-102.30283,35.1825
-102.33775,35.19777
-102.26741,35.17242
-102.3109,35.19648
-102.34522,35.20076
-102.31668,35.1818
-102.35889,35.18914
-102.30717,35.19498
-102.27557,35.19886
-102.27934,35.20037
-102.31234,35.21755
-98.9063,27.6
-98.91909,27.5769
-98.95589,27.5487
-98.88379,27.5971
-98.92269,27.57599
-98.92629,27.5701
-98.8709,27.5631
-98.9297,27.5853
-98.92389,27.5741
-98.89069,27.5722
-98.8738,27.5978
-98.88169,27.585
-98.8718,27.6
-98.85529,27.6016
-98.97199,27.539
-98.95759,27.5571
-98.87569,27.5958
-98.9167,27.5902
-98.95269,27.5368
-98.88229,27.59909
-98.869,27.57159
-98.86709,27.57299
-98.91399,27.58489
-98.88339,27.5833
-98.94499,27.5699
-98.90399,27.596
-98.94589,27.5678
-98.86889,27.5644
-98.8784,27.5883
-98.9334,27.5948
-98.91559,27.5651
-98.92739,27.5644
-98.8644,27.575
-98.85609,27.5915
-98.94449,27.5805
-98.89649,27.5918
-98.91649,27.581
-98.87509,27.5785
-98.90869,27.56459
-98.95359,27.5347
-98.91339,27.5986
-98.88509,27.5817
-98.88449,27.5634
-98.90649,27.5671
-98.90479,27.57669
-98.90559,27.6021
-98.97759,27.53429
-98.8644,27.5833
-98.85429,27.5931
-98.89159,27.5995
-98.94563,27.57616
-98.91789,27.57879
-98.88629,27.5619
-98.88009,27.5867
-98.89729,27.5859
-98.9577,27.55479
-98.97459,27.5358
-98.91419,27.5965
-98.8989,27.584
-98.8728,27.5617
-98.93329,27.5924
-98.91529,27.5829
-98.93409,27.5903
-98.94529,27.5784
-98.97509,27.5388
-98.91719,27.5628
-98.87589,27.5908
-98.95449,27.5326
-98.96389,27.5435
-98.9054,27.5941
-98.87329,27.57999
-98.95649,27.5466
-98.90039,27.5822
-98.85539,27.5994
-98.87019,27.60169
-98.89299,27.595
-98.85709,27.59769
-98.88529,27.5953
-98.97129,27.54289
-98.91559,27.5923
-98.9642,27.54129
-98.95529,27.5509
-98.9307,27.5833
-98.8681,27.5803
-98.8924,27.5705
-98.90179,27.5804
-98.9148,27.5944
-98.87689,27.5769
-98.925,27.5721
-98.91869,27.561
-98.89189,27.59699
-98.86799,27.60309
-98.88899,27.5738
-98.92609,27.5666
-98.95689,27.5592
-98.90329,27.57859
-98.85369,27.6034
-98.8663,27.5818
-98.96459,27.5391
-98.9465,27.5656
-100.57529,32.4049
-100.61489,32.3849
-100.65129,32.3896
-100.63049,32.39249
-100.6041,32.39549
-100.59409,32.40579
-100.59779,32.39119
-100.62219,32.3891
-100.64719,32.389
-100.57719,32.39019
-100.5855,32.3961
-100.6303,32.3778
-100.62719,32.3773
-100.57389,32.3896
-100.58949,32.40229
-100.63979,32.3983
-100.65579,32.3914
-100.57029,32.40059
-100.58149,32.3923
-100.61759,32.4008
-100.64409,32.3882
-100.6274,32.39169
-100.65739,32.39339
-100.64189,32.3864
-100.6647,32.3964
-100.56609,32.41029
-100.61929,32.38739
-100.61499,32.39949
-100.63989,32.38269
-100.58749,32.39769
-100.63189,32.3797
-100.63419,32.3811
-100.6471,32.3999
-100.59149,32.4045
-100.61169,32.39879
