xlong,ylat
-101.4083,32.2142
-101.35889,32.1759
-101.42149,32.2152
-101.36119,32.16719
-100.51762,33.01464
-100.52744,33.07086
-100.52064,33.03036
-100.56281,33.00883
-100.53799,33.08588
-100.49732,33.03795
-100.55681,32.89385
-100.5651,32.89236
-100.56575,32.89686
-100.57878,32.90409
-100.57687,32.88889
-100.53352,33.02515
-100.54147,32.99033
-100.52293,33.05171
-100.55832,33.03214
-100.5686,32.89082
-100.50671,33.04271
-100.52367,33.03871
-100.57236,32.8898
-100.53662,32.98877
-100.54065,33.09126
-100.5603,32.89323
-100.60146,32.87976
-100.58066,33.00531
-100.54122,33.03074
-100.49898,33.04936
-100.5874,32.87516
-100.52808,33.05191
-100.52942,33.03648
-100.57116,32.91568
-100.53845,33.03853
-100.59049,33.00243
-100.5946,32.87386
-100.505,33.00221
-100.53359,33.03643
-100.56422,32.91092
-100.499,33.00184
-100.5881,32.89581
-100.55611,33.01964
-100.5071,33.05494
-100.59412,32.90086
-100.52546,33.02178
-100.58898,32.88286
-100.57781,32.91018
-100.57259,33.00726
-100.55407,33.03184
-100.51255,33.00785
-100.53223,33.06864
-100.5514,33.02129
-100.58538,33.00439
-100.58295,32.90431
-100.52039,33.07149
-100.58499,32.89265
-100.54499,33.08201
-100.5192,33.02145
-100.57022,32.89464
-100.57375,32.90838
-100.58606,32.90645
-100.58901,32.90821
-100.51813,33.05258
-100.57486,32.91821
-100.57402,32.90321
-100.54694,33.02787
-100.5816,32.88803
-100.56403,32.98405
-100.5294,32.96099
-100.59956,32.87219
-100.51564,33.03854
-100.54704,32.99675
-100.52813,33.02889
-100.50873,33.01292
-100.54548,33.09148
-100.56799,32.91327
-100.59841,32.89005
-100.53332,32.96473
-100.59158,32.89856
-100.56976,32.98749
-100.54961,33.03352
-100.53368,33.04452
-100.54331,33.04118
-100.51244,33.05536
-100.51517,33.0123
-100.51091,33.04374
-100.56841,33.00704
-100.59386,32.88686
-100.52982,33.05947
-100.60215,32.8946
-100.5562,32.99262
-100.5025,33.04059
-100.53255,32.9761
-100.49897,33.0593
-100.56061,32.91028
-100.49427,33.03181
-100.56276,32.99558
-100.5438,33.05064
-100.54948,33.08141
-101.03733,32.89556
-101.04134,32.89563
-100.98238,32.87596
-100.98441,32.93955
-100.97148,32.9037
-101.01791,32.90577
-100.94024,32.88164
-101.01855,32.91614
-100.96761,32.90452
-101.0323,32.90742
-100.95278,32.84934
-100.96608,32.89199
-101.03948,32.90556
-100.99365,32.91711
-100.96054,32.85076
-101.01589,32.92489
-100.97738,32.88876
-100.98051,32.939
-100.98901,32.89021
-101.00407,32.92078
-100.97239,32.87886
-100.97308,32.88908
-100.99015,32.87572
-100.96243,32.89323
-101.04414,32.90523
-100.97238,32.92234
-100.97623,32.93598
-101.00261,32.87671
-101.01435,32.89235
-100.94185,32.89902
-100.98509,32.88966
-100.96065,32.88151
-100.97222,32.84913
-100.99155,32.85946
-100.98627,32.87582
-101.01299,32.88123
-101.01276,32.92209
-101.00745,32.89984
-100.99763,32.91722
-100.99714,32.85951
-100.99524,32.9417
-100.98074,32.90414
-100.99345,32.89058
-100.9876,32.85933
-100.95322,32.89611
-100.98389,32.86139
-101.02573,32.90257
-100.94894,32.90727
-100.97324,32.86629
-101.02978,32.88414
-100.96788,32.92222
-100.96858,32.87843
-100.96838,32.86588
-100.97714,32.90326
-100.99703,32.89035
-101.00077,32.89029
-100.98793,32.90592
-100.95131,32.86426
-101.02397,32.91259
-101.00922,32.92171
-101.01872,32.88121
-101.01402,32.90599
-100.99144,32.94153
-100.95647,32.90717
-100.96442,32.85054
-100.95535,32.8652
-100.94555,32.89691
-100.96391,32.90597
-100.94943,32.89632
-101.04857,32.90463
-100.93641,32.88242
-100.95885,32.89404
-101.04512,32.88586
-101.00656,32.87523
-101.00449,32.88942
-101.00104,32.85955
-100.96024,32.90682
-100.9812,32.88907
-100.95559,32.88186
-100.96447,32.86501
-101.02161,32.90313
-100.98434,32.90503
-101.03336,32.89553
-100.96834,32.84995
-100.95171,32.88322
-101.02219,32.88287
-100.94438,32.88099
-101.04144,32.88408
-100.94537,32.90782
-101.01796,32.89324
-100.98741,32.94167
-100.97791,32.86523
-101.03596,32.90759
-100.92928,32.8774
-100.93247,32.88055
-101.0376,32.88419
-101.02938,32.89597
-100.99145,32.90683
-100.94788,32.88242
-100.94103,32.91062
-100.99825,32.87782
-101.04897,32.88602
-101.02586,32.88412
-100.95271,32.90727
-101.02806,32.91134
-100.95931,32.86741
-100.95675,32.85074
-101.02016,32.92854
-100.99439,32.87777
-101.03369,32.88417
-101.82389,33.58089
-100.16409,29.21359
-100.14316,29.21355
-100.21279,29.1778
-100.22959,29.1629
-101.41539,32.2156
-100.2068,29.1915
-100.14089,29.2145
-100.17969,29.18139
-100.1769,29.2014
-100.17001,29.2102
-100.193,29.19594
-100.18578,29.17819
-100.21169,29.1794
-100.19949,29.196
-100.19348,29.19065
-100.20488,29.19263
-100.1974,29.18609
-100.18414,29.1795
-100.20116,29.19494
-100.21107,29.18908
-100.19869,29.1846
-100.22759,29.1638
-100.19614,29.18767
-100.22199,29.1696
-100.22559,29.16489
-100.2011,29.1838
-100.20619,29.1828
-100.19611,29.19581
-100.16589,29.2124
-100.1711,29.18432
-100.17883,29.20026
-100.17395,29.18327
-100.17688,29.20406
-100.14569,29.2128
-100.19409,29.1887
-100.20351,29.18324
-100.22299,29.16789
-100.20889,29.19051
-100.18203,29.18049
-100.16765,29.21103
-100.21909,29.1724
-100.21063,29.18114
-100.17679,29.2061
-100.22059,29.1711
-100.22399,29.1661
-100.1825,29.1982
-100.2161,29.1752
-100.18089,29.1995
-100.20329,29.1939
-100.21447,29.17638
-100.20879,29.1823
-100.13879,29.21569
-100.16232,29.21487
-100.21749,29.1737
