xlong,ylat
-101.26748,35.26846
-101.15404,35.29561
-101.14213,35.29582
-101.18506,35.24202
-101.1339,35.23489
-101.21489,35.23866
-101.14295,35.25755
-101.15521,35.24109
-101.27851,35.28135
-101.18872,35.25623
-101.09652,35.21903
-101.28026,35.26252
-101.11721,35.27253
-101.10147,35.30225
-101.1479,35.27221
-101.18726,35.28074
-101.08723,35.2208
-101.10815,35.21851
-101.23486,35.26439
-101.17757,35.2454
-101.24855,35.25328
-101.1924,35.28317
-101.23025,35.23957
-101.22607,35.28389
-101.25945,35.27494
-101.27407,35.23858
-101.15406,35.30693
-101.18088,35.25639
-101.27963,35.24109
-101.12743,35.21584
-101.23821,35.27356
-101.232,35.25343
-101.26521,35.25571
-101.17531,35.26856
-101.15428,35.27762
-101.18985,35.26983
-101.20004,35.25795
-101.25615,35.28426
-101.1029,35.29223
-101.25173,35.2841
-101.13322,35.21849
-101.24052,35.28395
-101.14354,35.21449
-101.16693,35.23605
-101.10089,35.27771
-101.26584,35.21573
-101.24202,35.25324
-101.23846,35.25893
-101.09443,35.27757
-101.10383,35.21938
-101.08712,35.3028
-101.2474,35.22232
-101.18321,35.26839
-101.21438,35.22862
-101.24531,35.28399
-101.19461,35.2561
-101.239,35.22986
-101.1723,35.24617
-101.08992,35.26704
-101.19684,35.27369
-101.12157,35.21671
-101.25557,35.25773
-101.24376,35.26835
-101.08735,35.23727
-101.29151,35.26994
-101.11391,35.21851
-101.17355,35.25684
-101.14873,35.25752
-101.21079,35.25594
-101.24206,35.21615
-101.2179,35.25626
-101.28737,35.26194
-101.09319,35.29207
-101.16509,35.28742
-101.29479,35.2604
-101.09481,35.30101
-101.12974,35.27298
-101.11736,35.29622
-101.28519,35.2823
-101.2724,35.25837
-101.25405,35.24664
-101.04667,35.30505
-101.11945,35.3311
-101.16519,35.31732
-101.03352,35.33508
-101.08201,35.34517
-101.1713,35.35414
-101.1348,35.34376
-101.14713,35.3544
-101.0276,35.30554
-101.15199,35.32122
-101.17244,35.29601
-101.13071,35.35526
-101.0658,35.3558
-101.03834,35.33509
-101.06438,35.30167
-101.078,35.35554
-101.09197,35.35553
-101.10442,35.33124
-101.12457,35.33114
-101.08646,35.3449
-101.05953,35.31426
-101.1022,35.35582
-101.14296,35.35413
-101.04279,35.33501
-101.05048,35.30164
-101.16419,35.33101
-101.10626,35.34484
-101.12501,35.34399
-101.04733,35.31553
-101.06941,35.3015
-101.17733,35.30618
-101.05189,35.32698
-101.05256,35.33924
-101.13989,35.30893
-101.09251,35.33115
-101.02845,35.35073
-101.07735,35.34479
-101.05402,35.3556
-101.09575,35.34509
-101.10695,35.31133
-101.13024,35.34389
-101.10079,35.34503
-101.13509,35.30892
-101.09101,35.34521
-101.15904,35.31728
-101.11184,35.35582
-101.03642,35.3556
-101.14114,35.34375
-101.07018,35.35574
-101.03792,35.31798
-101.17166,35.31732
-101.15241,35.35395
-101.14408,35.30957
-101.06459,35.33127
-101.11056,35.31297
-101.15823,35.35389
-101.18254,35.31785
-101.13037,35.30899
-101.10265,35.31124
-101.12292,35.35506
-101.08752,35.33111
-101.08625,35.35561
-101.12521,35.30913
-101.12682,35.35504
-101.14386,35.33083
-101.09699,35.35554
-101.05521,35.30156
-101.15298,35.34372
-101.09838,35.33114
-101.07662,35.31156
-101.13457,35.35511
-101.06452,35.30916
-101.13446,35.33115
-101.05679,35.32699
-101.14757,35.34378
-101.11912,35.3442
-101.1156,35.33233
-101.07015,35.31139
-101.19418,35.31768
-101.18981,35.31774
-101.16489,35.35406
-101.02802,35.31828
-101.1097,35.33122
-101.09126,35.31155
-101.02813,35.33481
-101.1719,35.30657
-101.15424,35.33101
-101.08301,35.31169
-101.05062,35.35587
-101.03691,35.30382
-101.09689,35.3114
-101.08244,35.33127
-101.1295,35.3312
-101.15925,35.33092
-101.07765,35.33147
-101.04679,35.35576
-101.05365,35.31497
-101.1786,35.2959
-101.07131,35.33125
-101.03185,35.30433
-101.0713,35.34516
-101.13947,35.33103
-101.04694,35.32702
-101.03288,35.31811
-101.11692,35.35547
-101.08687,35.31163
-101.0417,35.30367
-101.05985,35.3016
-101.06074,35.35548
-101.14785,35.33105
-101.12009,35.30925
-101.05874,35.33925
-101.47562,36.37123
-101.48113,36.28576
-101.46951,36.28585
-101.58962,36.28482
-101.43246,36.30461
-101.53642,36.28167
-101.49979,36.31189
-101.52313,36.29708
-101.46751,36.30081
-101.54112,36.26392
-101.42043,36.30003
-101.3913,36.3159
-101.55373,36.28296
-101.51124,36.3794
-101.51048,36.26558
-101.48988,36.38623
-101.56513,36.28296
-101.52008,36.25466
-101.51194,36.36838
-101.51286,36.28648
-101.427,36.30801
-101.48013,36.35986
-101.52261,36.26695
-101.57796,36.27171
-101.51732,36.29709
-101.50546,36.31175
-101.43136,36.32415
-101.49937,36.32684
-101.50684,36.35479
-101.43874,36.30088
-101.40929,36.30003
-101.42244,36.31485
-101.54311,36.35362
-101.41502,36.30006
-101.45762,36.37853
-101.42643,36.29519
-101.41682,36.31769
-101.49857,36.3424
-101.45156,36.30016
-101.50594,36.32678
-101.48816,36.31184
-101.59074,36.30042
-101.46241,36.37118
-101.50418,36.344
-101.57079,36.28325
-101.42568,36.32429
-101.52171,36.3596
-101.45171,36.37865
-101.39693,36.31414
-101.53004,36.28128
-101.54798,36.28288
-101.53559,36.2614
-101.53461,36.33855
-101.5594,36.28291
-101.48457,36.38622
-101.44819,36.3113
-101.39201,36.34342
-101.46372,36.28587
-101.54054,36.29737
-101.48138,36.37411
-101.54836,36.33075
-101.52413,36.28241
-101.50546,36.29796
-101.5798,36.30899
-101.55549,36.33179
-101.49424,36.2972
-101.4858,36.35955
-101.58392,36.28327
-101.40476,36.32652
-101.52766,36.3597
-101.44441,36.30204
-101.53,36.2426
-101.44474,36.32886
-101.4738,36.30013
-101.43332,36.36946
-101.50132,36.37444
-101.45786,36.28593
-101.51115,36.31136
-101.49198,36.35968
-101.45733,36.2994
-101.40263,36.31406
-101.57455,36.30111
-101.40022,36.33242
-101.50411,36.38636
-101.53475,36.29738
-101.56487,36.31561
-101.52915,36.25426
-101.48068,36.31047
-101.55835,36.26397
-101.59515,36.28733
-101.40466,36.35603
-101.50605,36.36814
-101.55861,36.322
-101.54444,36.34224
-101.53413,36.36002
-101.49403,36.31172
-101.51692,36.26573
-101.45761,36.31184
-101.57648,36.28332
-101.47537,36.28586
-101.52833,36.26722
-101.53847,36.34703
-101.44044,36.38398
-101.43691,36.31172
-101.57149,36.27169
-101.48847,36.30027
-101.56113,36.33502
-101.51238,36.34413
-101.54214,36.28297
-101.51725,36.27728
-101.41034,36.32144
-101.49976,36.28535
-101.49972,36.3003
-101.56741,36.26345
-101.58445,36.29993
-101.4988,36.35587
-101.43768,36.32407
-101.51113,36.29792
-101.5462,36.29686
-101.5289,36.29723
-101.50582,36.28531
-101.57544,36.31636
-101.42731,36.3691
-101.57048,36.31078
-101.54701,36.26452
-101.55267,36.26396
-101.44598,36.37865
-101.47993,36.29707
-101.36822,36.3558
-101.57873,36.36855
-101.46345,36.32622
-101.46436,36.31492
-101.58524,36.36764
-101.39323,36.35591
-101.51749,36.37903
-101.62101,36.38578
-101.43871,36.41109
-101.38615,36.3434
-101.54896,36.37661
-101.633,36.41517
-101.4578,36.33798
-101.43435,36.35191
-101.42256,36.35222
-101.45779,36.32606
-101.60246,36.36257
-101.60712,36.40017
-101.36321,36.33009
-101.46921,36.3414
-101.37919,36.31439
-101.60389,36.37927
-101.42802,36.35561
-101.54521,36.4291
-101.46927,36.35617
-101.44681,36.3408
-101.60261,36.39088
-101.38504,36.31448
-101.63037,36.3715
-101.41246,36.35605
-101.44132,36.35536
-101.41568,36.34444
-101.40994,36.34469
-101.47788,36.33062
-101.40408,36.34349
-101.45779,36.35623
-101.47218,36.33162
-101.3612,36.34336
-101.49072,36.34402
-101.63643,36.37234
-101.46886,36.32188
-101.46347,36.35629
-101.39896,36.35597
-101.47594,36.34137
-101.53967,36.42915
-101.48103,36.34413
-101.56065,36.3682
-101.5968,36.36317
-101.55062,36.42532
-101.38508,36.35589
-101.45223,36.32111
-101.37401,36.33729
-101.57224,36.36835
-101.45042,36.33201
-101.35548,36.34336
-101.37338,36.31453
-101.51595,36.35957
-101.39796,36.34344
-101.59404,36.37409
-101.44112,36.3407
-101.44899,36.35508
-101.55507,36.37013
-101.62495,36.37408
-101.47512,36.35413
-101.59706,36.38683
-101.37823,36.32958
-101.46338,36.34147
-101.37903,36.35587
-101.56633,36.3679
-101.36668,36.33911
-101.35702,36.32997
-101.60878,36.38843
-101.3698,36.32954
-101.58878,36.37856
-101.43548,36.33971
-101.59148,36.44394
-101.50961,36.4836
-101.57647,36.41455
-101.52673,36.47576
-101.62753,36.43262
-101.52103,36.47585
-101.46707,36.47935
-101.56709,36.42917
-101.45054,36.47751
-101.58915,36.39199
-101.54611,36.47612
-101.40354,36.4343
-101.45622,36.4771
-101.46098,36.45623
-101.5345,36.46865
-101.41164,36.41747
-101.64548,36.4146
-101.59086,36.46186
-101.62119,36.40432
-101.46664,36.45584
-101.62111,36.43822
-101.6191,36.41816
-101.39008,36.44258
-101.51575,36.48017
-101.59748,36.44312
-101.396,36.44244
-101.47231,36.45658
-101.54286,36.40527
-101.59312,36.41797
-101.41739,36.41736
-101.54326,36.48613
-101.56414,36.41447
-101.5702,36.46241
-101.55729,36.39568
-101.39803,36.43159
-101.43304,36.41332
-101.60337,36.44302
-101.60735,36.4192
-101.57931,36.40061
-101.54685,36.41375
-101.59835,36.41803
-101.59467,36.39611
-101.53641,36.47946
-101.40138,36.45058
-101.50263,36.46961
-101.63336,36.43268
-101.47945,36.48626
-101.40843,36.42844
-101.64684,36.43989
-101.56709,36.40344
-101.55215,36.40818
-101.60986,36.44223
-101.63979,36.44727
-101.52939,36.48586
-101.55655,36.42908
-101.57819,36.42928
-101.55158,36.39568
-101.61307,36.41811
-101.58155,36.38916
-101.59999,36.40109
-101.57568,36.46584
-101.59414,36.43251
-101.58426,36.447
-101.58408,36.45905
-101.503,36.4832
-101.41422,36.42836
-101.56976,36.44695
-101.5417,36.46854
-101.62495,36.41819
-101.49144,36.46584
-101.56186,36.4291
-101.57072,36.41426
-101.42011,36.42785
-101.45528,36.45892
-101.57039,36.39307
-101.57295,36.4292
-101.4969,36.46928
-101.47942,36.46602
-101.49661,36.48334
-101.49094,36.48506
-101.46146,36.48158
-101.56152,36.40361
-101.55708,36.41439
-101.48576,36.46575
-101.39156,36.43153
-101.58339,36.42812
-101.48516,36.48329
-101.44492,36.47945
-101.47314,36.47905
-99.34942,33.67001
-99.36885,33.67399
-99.37644,33.62058
-99.41608,33.64975
-99.41988,33.64882
-99.37921,33.67259
-99.45622,33.64042
-99.39125,33.67296
-99.39131,33.62021
-99.43284,33.63948
-99.44158,33.64029
-99.37231,33.67352
-99.4021,33.62072
-99.39858,33.62056
-99.35845,33.67323
-99.44574,33.64042
-99.43784,33.64021
-99.42197,33.62225
-99.3654,33.67363
-99.34573,33.6707
-99.38767,33.62038
-99.41313,33.62101
-99.37584,33.6732
-99.41686,33.6205
-99.33862,33.67083
-99.37272,33.62075
-99.40921,33.62091
-99.38443,33.6754
-99.36234,33.62035
-99.384,33.62034
-99.40225,33.65212
-99.36194,33.67341
-99.38022,33.6204
-99.41263,33.65006
-99.35495,33.67294
-99.38783,33.67466
-99.36926,33.62058
-99.35218,33.62265
-99.45271,33.64055
-99.40562,33.62093
-99.35568,33.62219
-99.40577,33.65194
-99.34216,33.6707
-99.40915,33.65049
-99.39505,33.62035
-99.33493,33.67091
-99.42961,33.63995
-99.36581,33.62054
-99.46016,33.64011
-99.44918,33.64055
-99.56004,33.66117
-99.53167,33.6753
-99.48451,33.66515
-99.51865,33.67674
-99.5121,33.67822
-99.56867,33.66066
-99.52459,33.63462
-99.55269,33.67069
-99.57582,33.65866
-99.53547,33.6755
-99.46888,33.63675
-99.51426,33.63372
-99.57211,33.66039
-99.54923,33.67119
-99.53164,33.63546
-99.50732,33.63343
-99.5154,33.6783
-99.5424,33.67197
-99.52815,33.63503
-99.54582,33.67157
-99.47942,33.63416
-99.56521,33.66074
-99.54184,33.63619
-99.50108,33.66494
-99.49448,33.6648
-99.5004,33.63351
-99.50382,33.63334
-99.48988,33.63408
-99.46294,33.63866
-99.4724,33.6363
-99.49778,33.66486
-99.50829,33.67677
-99.53507,33.63554
-99.51075,33.63358
-99.52115,33.63421
-99.4829,33.63419
-99.52848,33.67553
-99.54527,33.63638
-99.4969,33.63379
-99.53845,33.63577
-99.49341,33.63392
-99.4759,33.63413
-99.48642,33.63424
-99.52522,33.67679
-99.53864,33.67534
-99.48783,33.66464
-99.51769,33.634
-99.49118,33.66478
-99.52194,33.67698
-99.55611,33.67119
-99.57915,33.64664
-99.57336,33.61726
-99.55059,33.61509
-99.48372,33.59519
-99.62143,33.60891
-99.66706,33.56831
-99.57389,33.60786
-99.50712,33.5916
-99.64432,33.60253
-99.58353,33.64664
-99.63751,33.59429
-99.63026,33.59747
-99.6033,33.60941
-99.60035,33.62809
-99.67247,33.5683
-99.4753,33.61187
-99.56596,33.64665
-99.49696,33.61298
-99.56698,33.61508
-99.60873,33.62779
-99.64884,33.60202
-99.57918,33.60721
-99.53803,33.60138
-99.53162,33.61766
-99.59622,33.64539
-99.57038,33.64664
-99.51899,33.59473
-99.5142,33.61595
-99.495,33.59651
-99.67226,33.58274
-99.47973,33.61192
-99.53906,33.61739
-99.51183,33.59155
-99.47149,33.61099
-99.65852,33.59652
-99.59534,33.61616
-99.58808,33.6093
-99.63361,33.59618
-99.66786,33.58241
-99.60806,33.60915
-99.66746,33.59683
-99.67217,33.59671
-99.5559,33.61508
-99.59884,33.60933
-99.56115,33.64598
-99.4678,33.61198
-99.47501,33.59419
-99.67201,33.60656
-99.61261,33.60865
-99.54292,33.60183
-99.66535,33.6064
-99.54578,33.61805
-99.53046,33.59499
-99.66299,33.59661
-99.65659,33.58218
-99.52625,33.61627
-99.66175,33.58228
-99.58701,33.63216
-99.55565,33.64486
-99.6534,33.59697
-99.63172,33.60781
-99.48634,33.61332
-99.62548,33.61858
-99.56118,33.61508
-99.61887,33.62231
-99.5747,33.64689
-99.62626,33.60917
-99.58791,33.64664
-99.50309,33.61393
-99.59213,33.60611
-99.48882,33.59576
-99.52136,33.61604
-99.50185,33.59152
-99.50761,33.61451
-99.592,33.63198
-99.61735,33.60891
-99.57903,33.61881
-99.47937,33.59469
-99.59155,33.61776
-99.49219,33.61324
-97.59986,26.91298
-97.59219,26.9196
-97.5986,26.98529
-97.59619,26.91579
-97.57931,26.91336
-97.59061,26.94073
-97.55821,27.00946
-97.58111,26.96776
-97.51823,27.00098
-97.58181,26.9306
-97.55339,27.015
-97.58757,26.99526
-97.53115,27.00194
-97.522,26.99804
-97.57671,26.93535
-97.57275,26.99601
-97.58518,26.99755
-97.57625,26.95231
-97.53759,27.01108
-97.51444,27.00401
-97.57145,26.99795
-97.5567,27.01134
-97.58301,26.98424
-97.58105,27.0004
-97.52448,27.00689
-97.57851,26.93354
-97.57169,26.94105
-97.52381,27.00907
-97.57536,26.93728
-97.52124,27.01079
-97.57275,26.95857
-97.58329,26.96373
-97.57529,26.9547
-97.58571,26.98167
-97.57468,26.9567
-97.57898,26.96977
-97.52869,27.00391
-97.58218,26.96609
-97.59039,26.97619
-97.57307,26.93913
-97.5691,26.99919
-97.56422,26.94773
-97.56549,27.00253
-97.5826,26.94753
-97.58994,26.99336
-97.53944,27.00997
-97.57052,26.96225
-97.58872,26.94207
-97.52009,26.99925
-97.51156,27.00779
-97.58287,26.99908
-97.53411,26.99968
-97.58722,26.98009
-97.51612,27.00267
-97.58143,26.95001
-97.55028,27.01589
-97.55099,27.0021
-97.55527,27.01303
-97.56383,27.00423
-97.56813,26.9444
-97.57111,26.96019
-97.56009,27.00793
-97.57835,26.95131
-97.59094,26.93733
-97.56271,27.00627
-97.55413,27.00038
-97.58399,26.9461
-97.56725,27.00082
-97.58038,26.93202
-97.56604,26.9461
-97.51204,27.00524
-97.53509,27.01197
-97.52717,27.00612
-97.54518,27.00433
-97.56937,26.94265
-97.54742,27.00338
-97.54293,27.00564
-97.54157,27.00807
-97.58859,26.9779
-101.51321,32.50189
-101.43131,32.49319
-101.45314,32.46396
-101.43255,32.48033
-101.51911,32.48137
-101.50621,32.48226
-101.39043,32.47569
-101.4761,32.50856
-101.53452,32.49286
-101.43176,32.4554
-101.41026,32.48591
-101.44756,32.48197
-101.38154,32.47882
-101.44414,32.48281
-101.5413,32.49595
-101.44508,32.50132
-101.48055,32.50953
-101.42806,32.45782
-101.48505,32.51067
-101.36924,32.49774
-101.39397,32.47487
-101.3923,32.49175
-101.43554,32.45253
-101.48759,32.46163
-101.38528,32.49437
-101.44286,32.46667
-101.41454,32.48484
-101.52178,32.49311
-101.51794,32.49871
-101.42752,32.49397
-101.46925,32.47672
-101.41809,32.48356
-101.46189,32.47837
-101.44128,32.50157
-101.43778,32.49181
-101.37352,32.49699
-101.46167,32.50936
-101.51196,32.48294
-101.42377,32.45909
-101.46532,32.47751
-101.50051,32.49901
-101.4498,32.46484
-101.40968,32.4563
-101.47247,32.50873
-101.46532,32.50918
-101.45648,32.49618
-101.46895,32.50895
-101.47402,32.49202
-101.45281,32.50102
-101.41853,32.50391
-101.48243,32.46204
-101.44895,32.50116
-101.47331,32.47562
-101.52487,32.48079
-101.40585,32.48666
-101.38895,32.49318
-101.47759,32.49138
-101.47672,32.47488
-101.41968,32.45988
-101.38537,32.47754
-101.43953,32.45079
-101.37769,32.49638
-101.52834,32.49339
-101.41465,32.50563
-101.38188,32.49559
-101.41036,32.51234
-101.42912,32.48118
-99.43849,32.78729
-99.44759,32.8015
-99.45659,32.7897
-99.48619,32.7832
-99.45369,32.77889
-99.42669,32.76519
-99.49009,32.78529
-99.43649,32.80109
-99.47679,32.76999
-99.46149,32.77269
-99.45789,32.76519
-99.4307,32.78239
-99.5044,32.7762
-99.46819,32.76629
-99.42919,32.79969
-99.44149,32.78719
-99.49629,32.78729
-99.43229,32.80109
-99.46549,32.80639
-99.43779,32.76519
-99.45059,32.7889
-99.48369,32.7911
-99.47949,32.79079
-99.46489,32.77499
-99.43539,32.78659
-99.47619,32.78949
-99.4167,32.7651
-99.4101,32.76849
-99.44999,32.7785
-99.44659,32.76529
-99.5015,32.77649
-99.4409,32.80059
-99.44439,32.7875
-99.44099,32.76519
-99.49609,32.76679
-99.47399,32.77079
-99.47109,32.7664
-99.49349,32.76809
-99.44759,32.78859
-99.47459,32.78389
-99.42349,32.7651
-99.4567,32.80339
-99.45919,32.78859
-99.42379,32.7968
-99.50469,32.7673
-99.50199,32.76619
-99.45969,32.8061
-99.49329,32.7869
-99.40419,32.77889
-99.41369,32.76539
-99.44949,32.766
-99.45229,32.76679
-99.49099,32.76939
-99.41959,32.7651
-99.4446,32.80109
-99.46249,32.80689
-99.50189,32.7856
-99.48229,32.76819
-99.45369,32.7903
-99.40749,32.77889
-99.48809,32.76889
-99.42549,32.7777
-99.48529,32.7679
-99.49889,32.76619
-99.49909,32.7865
-99.46249,32.78999
-99.46829,32.8056
-99.47949,32.76889
-99.4204,32.79049
-99.454,32.8023
-99.468,32.7767
-99.42659,32.7986
-101.68102,33.98137
-101.73483,33.95708
-101.62465,33.99874
-101.69331,33.91821
-101.67072,33.92124
-101.60379,33.95343
-101.60606,33.89895
-101.61448,33.89687
-101.65878,33.93759
-101.71627,33.98708
-101.60638,33.91127
-101.64578,33.97616
-101.63765,34.01378
-101.66709,33.92825
-101.67519,33.92155
-101.66718,33.89733
-101.73853,33.95862
-101.61067,33.96182
-101.59713,33.90094
-101.61226,33.99393
-101.64609,33.89935
-101.72372,33.89873
-101.59216,34.01939
-101.6586,33.96556
-101.71922,33.95392
-101.59858,33.97406
-101.58392,34.00414
-101.67664,33.96001
-101.7236,33.962
-101.62896,33.90224
-101.63755,33.96193
-101.6584,33.90873
-101.68879,33.9165
-101.57719,33.95204
-101.71152,33.98599
-101.66328,33.95739
-101.67127,33.88681
-101.57298,33.96648
-101.65898,33.91612
-101.74316,33.95843
-101.7236,33.9738
-101.7003,33.91844
-101.63583,33.91307
-101.73408,33.97316
-101.59512,33.9609
-101.65989,33.94606
-101.64065,33.99595
-101.58727,33.93166
-101.67582,33.95324
-101.65414,33.93755
-101.71373,33.88834
-101.61124,34.00262
-101.57349,33.94202
-101.59918,33.95474
-101.64147,33.89579
-101.68105,33.89999
-101.6516,33.99376
-101.70327,33.91061
-101.61112,33.94289
-101.60183,33.91213
-101.64195,33.94291
-101.62459,34.01854
-101.58664,33.99482
-101.62029,33.94035
-101.74243,33.9748
-101.61585,33.9741
-101.65378,33.91653
-101.58199,33.94925
-101.634,33.89397
-101.73824,33.97479
-101.72965,33.97267
-101.7151,33.9523
-101.59493,33.91125
-101.69286,33.93784
-101.64523,33.88938
-101.70279,33.94717
-101.7116,33.93161
-101.70745,33.93769
-101.67654,33.98583
-101.70171,33.98743
-101.61424,34.00789
-101.58804,33.97804
-101.72968,33.90688
-101.676,33.97617
-101.57703,33.93047
-101.72995,33.91516
-101.59168,34.00048
-101.59744,33.91711
