ylat,xlong,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
33.09148,-100.54548,13.586392,7.36624,24.818277,7.0278707,191.42067,93.51292
32.91327,-100.56799,13.737015,7.3594418,24.57094,7.270794,189.63303,92.37065
32.89005,-100.59841,13.816814,7.4023557,25.046444,7.291647,190.34874,90.923096
32.96473,-100.53332,13.633015,7.3594413,24.57094,7.270794,189.63303,92.37065
32.89856,-100.59158,13.829815,7.4023557,25.046444,7.291647,190.34874,90.923096
32.98749,-100.56976,13.5700865,7.344676,24.36159,7.076603,190.43332,93.36775
33.03352,-100.54961,13.596086,7.3446755,24.36159,7.076603,190.43332,93.36775
33.04452,-100.53368,13.352392,7.36624,24.818277,7.0278707,191.42067,93.51292
33.04118,-100.54331,13.365393,7.36624,24.818277,7.0278707,191.42067,93.51292
33.05536,-100.51244,13.586392,7.36624,24.818277,7.0278707,191.42067,93.51292
33.0123,-100.51517,13.495831,7.359945,24.591572,7.149739,189.70074,93.81597
33.04374,-100.51091,13.410894,7.36624,24.818277,7.0278707,191.42067,93.51292
33.00704,-100.56841,13.511588,7.344676,24.36159,7.076603,190.43332,93.36775
32.88686,-100.59386,13.771315,7.4023557,25.046444,7.291647,190.34874,90.923096
33.05947,-100.52982,13.4368925,7.36624,24.818277,7.0278707,191.42067,93.51292
32.8946,-100.60215,13.849315,7.4023547,25.046444,7.291647,190.34874,90.923096
32.99262,-100.5562,13.537587,7.3446755,24.36159,7.076603,190.43332,93.36775
33.04059,-100.5025,13.378393,7.36624,24.818277,7.0278707,191.42067,93.51292
32.9761,-100.53255,13.430831,7.359945,24.591572,7.149739,189.70074,93.81597
33.0593,-100.49897,13.527891,7.36624,24.818277,7.0278707,191.42067,93.51292
32.91028,-100.56061,13.802013,7.3594413,24.57094,7.270794,189.63303,92.37065
33.03181,-100.49427,13.59333,7.359945,24.591572,7.149739,189.70074,93.81597
32.99558,-100.56276,13.518087,7.3446755,24.36159,7.076603,190.43332,93.36775
33.05064,-100.5438,13.449892,7.3662395,24.818277,7.0278707,191.42067,93.51292
33.08141,-100.54948,13.534393,7.36624,24.818277,7.0278707,191.42067,93.51292
32.89556,-101.03733,13.168173,7.344846,25.99455,7.215396,190.87709,89.72531
32.89563,-101.04134,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
32.87596,-100.98238,13.174674,7.344846,25.99455,7.215396,190.87709,89.72531
