,latitude,longitude,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
71,30.9446,-102.19159,14.832391,7.351734,26.427666,9.045592,189.37366,75.40675
72,30.92909,-102.18449,15.032444,7.3084736,28.812582,9.020205,193.2825,72.572235
73,30.9467,-102.16439,14.708894,7.3517346,26.427666,9.045592,189.37366,75.40675
74,30.9408,-102.17039,14.656893,7.3517346,26.427666,9.045592,189.37366,75.40675
75,30.938,-102.21379,14.799893,7.3517346,26.427666,9.045592,189.37366,75.40675
76,30.94169,-102.17999,14.721895,7.3517346,26.427666,9.045592,189.37366,75.40675
77,30.9372,-102.17649,14.598394,7.351734,26.427666,9.045592,189.37366,75.40675
78,30.9409,-102.19009,14.910395,7.351734,26.427666,9.045592,189.37366,75.40675
79,30.9429,-102.21739,14.9298935,7.3517346,26.427666,9.045592,189.37366,75.40675
80,30.9444,-102.16699,14.689394,7.3517346,26.427666,9.045592,189.37366,75.40675
81,30.9444,-102.18359,14.767395,7.351735,26.427666,9.045592,189.37366,75.40675
82,30.9516,-102.21619,15.053394,7.3517346,26.427666,9.045592,189.37366,75.40675
83,30.96149,-102.21659,15.033894,7.3517346,26.427666,9.045592,189.37366,75.40675
84,30.9349,-102.22029,14.780393,7.3517346,26.427666,9.045592,189.37366,75.40675
85,30.93993,-102.16221,14.708894,7.3517346,26.427666,9.045592,189.37366,75.40675
86,30.9335,-102.22469,14.910395,7.351734,26.427666,9.045592,189.37366,75.40675
87,30.946,-102.16629,14.7023945,7.3517346,26.427666,9.045592,189.37366,75.40675
88,30.938,-102.17459,14.604894,7.3517346,26.427666,9.045592,189.37366,75.40675
89,36.47269,-101.32789,9.770308,7.703388,25.97774,7.5962534,199.35399,96.50645
90,35.80819,-101.99659,9.888655,7.702062,27.553064,8.76354,204.96758,94.40735
91,35.80819,-101.9988,9.882155,7.702062,27.553064,8.76354,204.96758,94.40735
92,35.80819,-101.99449,9.908155,7.7020626,27.553064,8.76354,204.96758,94.40735
93,35.81369,-101.99429,9.869154,7.702062,27.553064,8.76354,204.96758,94.40735
94,35.80819,-101.99199,9.927654,7.7020617,27.553064,8.76354,204.96758,94.40735
95,35.81139,-101.99459,9.875655,7.702062,27.553064,8.76354,204.96758,94.40735
96,35.9614,-101.80539,9.742527,7.623144,26.641436,8.123852,198.66432,97.60666
97,35.9614,-101.79489,9.768527,7.6231446,26.641436,8.123852,198.66432,97.60666
98,35.9614,-101.79909,9.755527,7.6231446,26.641436,8.123852,198.66432,97.60666
99,35.9614,-101.80119,9.749025,7.623144,26.641436,8.123852,198.66432,97.60666
100,35.9614,-101.79699,9.762029,7.6231446,26.641436,8.123852,198.66432,97.60666
101,35.9614,-101.80969,9.736027,7.623144,26.641436,8.123852,198.66432,97.60666
102,35.9614,-101.80329,9.749025,7.623144,26.641436,8.123852,198.66432,97.60666
103,35.9614,-101.80749,9.742527,7.623144,26.641436,8.123852,198.66432,97.60666
104,35.8168,-101.98469,9.888655,7.702062,27.553064,8.76354,204.96758,94.40735
105,35.81659,-101.98049,9.908155,7.7020626,27.553064,8.76354,204.96758,94.40735
106,35.8169,-101.98679,9.875655,7.702062,27.553064,8.76354,204.96758,94.40735
107,35.81199,-101.97889,9.953654,7.702062,27.553064,8.76354,204.96758,94.40735
108,35.8169,-101.98899,9.869154,7.702062,27.553064,8.76354,204.96758,94.40735
109,35.8117,-101.97709,9.940655,7.7020617,27.553064,8.76354,204.96758,94.40735
110,35.81149,-101.97519,9.953654,7.702062,27.553064,8.76354,204.96758,94.40735
111,35.81669,-101.98259,9.895155,7.702062,27.553064,8.76354,204.96758,94.40735
112,36.3887,-101.36899,9.775067,7.6624246,26.796993,8.175056,201.11658,97.03562
113,36.37269,-101.37239,9.775067,7.6624246,26.796993,8.175056,201.11658,97.03562
114,36.39339,-101.36059,9.788067,7.6624246,26.796993,8.175056,201.11658,97.03562
115,36.38139,-101.38679,9.749067,7.6624246,26.796993,8.175056,201.11658,97.03562
116,36.41459,-101.37669,9.775067,7.6624246,26.796993,8.175056,201.11658,97.03562
117,36.3812,-101.38299,9.755566,7.6624246,26.796993,8.175056,201.11658,97.03562
118,36.39959,-101.36429,9.794568,7.6624246,26.796993,8.175056,201.11658,97.03562
119,36.38049,-101.37089,9.781567,7.6624246,26.796993,8.175056,201.11658,97.03562
120,36.3882,-101.36269,9.788067,7.6624246,26.796993,8.175056,201.11658,97.03562
121,36.39769,-101.37869,9.768566,7.6624246,26.796993,8.175056,201.11658,97.03562
122,36.41459,-101.38659,9.755566,7.6624246,26.796993,8.175056,201.11658,97.03562
123,36.39959,-101.36129,9.801066,7.6624246,26.796993,8.175056,201.11658,97.03562
124,36.3831,-101.36459,9.794568,7.6624246,26.796993,8.175056,201.11658,97.03562
125,36.37269,-101.37599,9.762066,7.6624246,26.796993,8.175056,201.11658,97.03562
126,36.41459,-101.38329,9.762066,7.6624246,26.796993,8.175056,201.11658,97.03562
127,36.39829,-101.38599,9.755566,7.6624246,26.796993,8.175056,201.11658,97.03562
128,36.3901,-101.38679,9.755566,7.6624246,26.796993,8.175056,201.11658,97.03562
129,36.40699,-101.38179,9.768566,7.6624246,26.796993,8.175056,201.11658,97.03562
130,36.38969,-101.3822,9.762066,7.6624246,26.796993,8.175056,201.11658,97.03562
131,36.40699,-101.38519,9.762066,7.6624246,26.796993,8.175056,201.11658,97.03562
132,36.37269,-101.36869,9.781567,7.6624246,26.796993,8.175056,201.11658,97.03562
133,36.3728,-101.37969,9.755566,7.6624246,26.796993,8.175056,201.11658,97.03562
134,36.41209,-101.37369,9.788067,7.6624246,26.796993,8.175056,201.11658,97.03562
135,36.39959,-101.35819,9.801066,7.6624246,26.796993,8.175056,201.11658,97.03562
136,36.40699,-101.37839,9.775067,7.6624246,26.796993,8.175056,201.11658,97.03562
137,36.39739,-101.37459,9.775067,7.6624246,26.796993,8.175056,201.11658,97.03562
138,36.3807,-101.37469,9.768566,7.6624246,26.796993,8.175056,201.11658,97.03562
139,36.41459,-101.37989,9.768566,7.6624246,26.796993,8.175056,201.11658,97.03562
140,36.3728,-101.38689,9.742567,7.6624246,26.796993,8.175056,201.11658,97.03562
141,36.37769,-101.36669,9.788067,7.6624246,26.796993,8.175056,201.11658,97.03562
142,36.38899,-101.37319,9.775067,7.6624246,26.796993,8.175056,201.11658,97.03562
143,36.3971,-101.37149,9.781567,7.6624246,26.796993,8.175056,201.11658,97.03562
144,36.38089,-101.37879,9.762066,7.6624246,26.796993,8.175056,201.11658,97.03562
145,36.38939,-101.37779,9.768566,7.6624246,26.796993,8.175056,201.11658,97.03562
146,36.39959,-101.36739,9.788067,7.6624246,26.796993,8.175056,201.11658,97.03562
147,36.40619,-101.37179,9.781567,7.6624246,26.796993,8.175056,201.11658,97.03562
148,36.3728,-101.38329,9.749067,7.6624246,26.796993,8.175056,201.11658,97.03562
149,36.398,-101.38239,9.762066,7.6624246,26.796993,8.175056,201.11658,97.03562
150,36.0076,-101.86369,9.755896,7.624792,27.334232,8.315204,201.4387,95.84327
151,35.9955,-101.84759,9.781897,7.6247926,27.334232,8.315204,201.4387,95.84327
152,35.9955,-101.86159,9.749397,7.624792,27.334232,8.315204,201.4387,95.84327
153,35.9955,-101.85169,9.768897,7.6247926,27.334232,8.315204,201.4387,95.84327
154,35.9955,-101.85949,9.755896,7.624792,27.334232,8.315204,201.4387,95.84327
155,35.9955,-101.84969,9.775397,7.624792,27.334232,8.315204,201.4387,95.84327
156,36.0076,-101.86139,9.762396,7.624792,27.334232,8.315204,201.4387,95.84327
157,35.9955,-101.86369,9.749397,7.624792,27.334232,8.315204,201.4387,95.84327
158,36.02599,-101.88769,9.723396,7.6247926,27.334232,8.315204,201.4387,95.84327
159,36.02519,-101.88329,9.723396,7.6247926,27.334232,8.315204,201.4387,95.84327
160,36.02689,-101.89979,9.716898,7.6247926,27.334232,8.315204,201.4387,95.84327
161,36.02609,-101.89569,9.716898,7.6247926,27.334232,8.315204,201.4387,95.84327
162,36.02649,-101.89769,9.716898,7.6247926,27.334232,8.315204,201.4387,95.84327
163,36.0257,-101.89359,9.716898,7.6247926,27.334232,8.315204,201.4387,95.84327
164,36.02559,-101.88549,9.723396,7.6247926,27.334232,8.315204,201.4387,95.84327
165,36.02929,-101.88329,9.729896,7.6247926,27.334232,8.315204,201.4387,95.84327
166,36.4455,-101.86749,9.432424,7.615113,27.007383,8.3017845,203.04597,97.50472
167,36.4455,-101.87409,9.419424,7.615113,27.007383,8.3017845,203.04597,97.50472
168,36.4455,-101.87189,9.425924,7.615113,27.007383,8.3017845,203.04597,97.50472
169,36.4455,-101.86089,9.445425,7.615113,27.007383,8.3017845,203.04597,97.50472
170,36.4455,-101.87639,9.419424,7.615113,27.007383,8.3017845,203.04597,97.50472
171,36.4455,-101.86309,9.445425,7.615113,27.007383,8.3017845,203.04597,97.50472
172,36.4455,-101.86969,9.425924,7.615113,27.007383,8.3017845,203.04597,97.50472
173,36.4455,-101.86529,9.432424,7.615113,27.007383,8.3017845,203.04597,97.50472
174,36.46709,-101.81249,9.360925,7.615113,27.007383,8.3017845,203.04597,97.50472
175,36.46689,-101.82029,9.386925,7.615113,27.007383,8.3017845,203.04597,97.50472
176,36.467,-101.81029,9.3544235,7.6151123,27.007383,8.3017845,203.04597,97.50472
177,36.467,-101.80819,9.347924,7.615113,27.007383,8.3017845,203.04597,97.50472
178,36.46689,-101.81819,9.3804245,7.615113,27.007383,8.3017845,203.04597,97.50472
179,36.467,-101.80599,9.241087,7.610943,26.966526,8.154081,201.4584,97.274345
180,36.467,-101.82239,9.393425,7.615113,27.007383,8.3017845,203.04597,97.50472
181,36.46709,-101.81459,9.367425,7.615113,27.007383,8.3017845,203.04597,97.50472
182,27.39447,-99.005,20.071198,6.184071,25.248026,7.194634,137.49318,89.150795
183,27.38979,-98.94569,19.560377,6.0835977,25.011375,7.2704315,140.37894,90.86796
184,27.3952,-98.93594,19.56688,6.083597,25.011375,7.2704315,140.37894,90.86796
185,27.389,-98.97347,19.547379,6.083598,25.011375,7.2704315,140.37894,90.86796
186,27.38889,-99.01098,20.025696,6.1840715,25.248026,7.194634,137.49318,89.150795
187,27.37173,-99.00067,19.960697,6.184072,25.248026,7.194634,137.49318,89.150795
188,27.38733,-98.94859,19.56688,6.083597,25.011375,7.2704315,140.37894,90.86796
189,27.39251,-98.94333,19.560377,6.0835977,25.011375,7.2704315,140.37894,90.86796
190,27.39038,-99.00568,20.012697,6.1840715,25.248026,7.194634,137.49318,89.150795
191,27.39487,-98.94087,19.56688,6.083597,25.011375,7.2704315,140.37894,90.86796
192,27.38587,-98.97759,19.540873,6.083597,25.011375,7.2704315,140.37894,90.86796
193,27.46974,-98.90156,19.439802,6.0799146,23.608963,7.0826597,146.87149,91.8299
194,27.42843,-98.96523,19.493425,6.1088824,24.894243,7.1828856,142.44766,91.27062
195,27.4875,-98.87322,19.441847,6.0716634,23.679098,6.877418,147.43416,91.40658
196,27.44936,-98.94605,19.551924,6.1088824,24.894243,7.1828856,142.44766,91.27062
197,27.48515,-98.8817,19.439802,6.0799146,23.608963,7.0826597,146.87149,91.8299
198,27.41536,-98.94375,19.57338,6.083598,25.011375,7.2704315,140.37894,90.86796
199,27.43525,-98.90344,19.413801,6.0799146,23.608963,7.0826597,146.87149,91.8299
200,27.49908,-98.91054,19.363846,6.071663,23.679098,6.877418,147.43416,91.40658
201,27.5383,-98.92011,19.486416,6.1799903,24.892647,7.0910373,144.19247,90.451614
202,27.44564,-98.95657,19.525923,6.1088824,24.894243,7.1828856,142.44766,91.27062
203,27.42819,-98.98325,19.447922,6.1088824,24.894243,7.1828856,142.44766,91.27062
204,27.54077,-98.91776,19.266344,6.0716634,23.679098,6.877418,147.43416,91.40658
205,27.50176,-98.90847,19.357344,6.071664,23.679098,6.877418,147.43416,91.40658
206,27.46273,-98.91412,19.577923,6.1088824,24.894243,7.1828856,142.44766,91.27062
