p_year,t_cap,t_hh,t_rd,xlong,ylat,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
2020,1790.0,80.0,100.0,-100.58295,32.90431,13.685015,7.3594418,24.57094,7.270794,189.63303,92.37065
2020,2820.0,89.0,127.0,-100.52039,33.07149,13.508392,7.3662395,24.818277,7.0278707,191.42067,93.51292
2020,1790.0,80.0,100.0,-100.58499,32.89265,13.816814,7.4023557,25.046444,7.291647,190.34874,90.923096
2020,2820.0,89.0,127.0,-100.54499,33.08201,13.534393,7.36624,24.818277,7.0278707,191.42067,93.51292
2020,2820.0,89.0,127.0,-100.5192,33.02145,13.43733,7.359945,24.591572,7.149739,189.70074,93.81597
2020,2820.0,89.0,127.0,-100.57022,32.89464,13.836314,7.4023557,25.046444,7.291647,190.34874,90.923096
2020,2820.0,89.0,127.0,-100.57375,32.90838,13.750013,7.3594418,24.57094,7.270794,189.63303,92.37065
2020,1790.0,80.0,100.0,-100.58606,32.90645,13.737015,7.3594418,24.57094,7.270794,189.63303,92.37065
2020,2820.0,89.0,127.0,-100.58901,32.90821,13.769515,7.3594418,24.57094,7.270794,189.63303,92.37065
2020,2820.0,89.0,127.0,-100.51813,33.05258,13.514893,7.3662395,24.818277,7.0278707,191.42067,93.51292
2020,1790.0,80.0,100.0,-100.57486,32.91821,13.756514,7.3594418,24.57094,7.270794,189.63303,92.37065
2020,1790.0,80.0,100.0,-100.57402,32.90321,13.743515,7.3594418,24.57094,7.270794,189.63303,92.37065
2020,2820.0,89.0,127.0,-100.54694,33.02787,13.492086,7.344675,24.36159,7.076603,190.43332,93.36775
2020,2820.0,89.0,127.0,-100.5816,32.88803,13.797316,7.4023557,25.046444,7.291647,190.34874,90.923096
2020,2820.0,89.0,127.0,-100.56403,32.98405,13.622087,7.344676,24.36159,7.076603,190.43332,93.36775
2020,2820.0,89.0,127.0,-100.5294,32.96099,13.643542,7.406859,24.643827,7.1878204,188.94205,92.475876
2020,1790.0,80.0,100.0,-100.59956,32.87219,13.693315,7.4023547,25.046444,7.291647,190.34874,90.923096
2020,2820.0,89.0,127.0,-100.51564,33.03854,13.42433,7.359945,24.591572,7.149739,189.70074,93.81597
2020,2820.0,89.0,127.0,-100.54704,32.99675,13.622087,7.344676,24.36159,7.076603,190.43332,93.36775
2020,2820.0,89.0,127.0,-100.52813,33.02889,13.33983,7.359945,24.591572,7.149739,189.70074,93.81597
2020,2820.0,89.0,127.0,-100.50873,33.01292,13.62583,7.359945,24.591572,7.149739,189.70074,93.81597
2020,2820.0,89.0,127.0,-100.54548,33.09148,13.586392,7.36624,24.818277,7.0278707,191.42067,93.51292
2020,2820.0,89.0,127.0,-100.56799,32.91327,13.737015,7.3594418,24.57094,7.270794,189.63303,92.37065
2020,1790.0,80.0,100.0,-100.59841,32.89005,13.816814,7.4023557,25.046444,7.291647,190.34874,90.923096
2020,2820.0,89.0,127.0,-100.53332,32.96473,13.633015,7.3594413,24.57094,7.270794,189.63303,92.37065
2020,1790.0,80.0,100.0,-100.59158,32.89856,13.829815,7.4023557,25.046444,7.291647,190.34874,90.923096
2020,2820.0,89.0,127.0,-100.56976,32.98749,13.5700865,7.344676,24.36159,7.076603,190.43332,93.36775
2020,2820.0,89.0,127.0,-100.54961,33.03352,13.596086,7.3446755,24.36159,7.076603,190.43332,93.36775
2020,2820.0,89.0,127.0,-100.53368,33.04452,13.352392,7.36624,24.818277,7.0278707,191.42067,93.51292
2020,2820.0,89.0,127.0,-100.54331,33.04118,13.365393,7.36624,24.818277,7.0278707,191.42067,93.51292
2020,2820.0,89.0,127.0,-100.51244,33.05536,13.586392,7.36624,24.818277,7.0278707,191.42067,93.51292
2020,2820.0,89.0,127.0,-100.51517,33.0123,13.495831,7.359945,24.591572,7.149739,189.70074,93.81597
2020,2820.0,89.0,127.0,-100.51091,33.04374,13.410894,7.36624,24.818277,7.0278707,191.42067,93.51292
